,ligand_name,sequence_id,label
0,107,23143,1
1,107,23144,1
2,107,2,1
3,107,3,1
4,107,4,1
5,107,5,1
6,107,6,1
7,107,7,1
8,107,8,1
9,107,9,1
10,107,10,1
11,107,11,1
12,107,12,1
13,107,13,1
14,107,14,1
15,107,15,1
16,107,16,1
17,107,17,1
18,107,18,1
19,107,19,1
20,107,20,1
21,107,21,1
22,107,22,1
23,107,23,1
24,107,24,1
25,107,25,1
26,107,26,1
27,107,27,1
28,107,28,1
29,107,29,1
30,107,30,1
31,107,31,1
32,107,32,1
33,107,33,1
34,107,34,1
35,107,35,1
36,107,52,1
37,107,53,1
38,107,54,1
39,107,55,1
40,107,56,1
41,107,57,1
42,107,58,1
43,107,59,1
44,107,60,1
45,107,61,1
46,107,62,1
47,107,63,1
48,107,64,1
49,107,65,1
50,107,66,1
51,107,67,1
52,105,68,1
53,105,69,1
54,105,70,1
55,105,71,1
56,105,72,1
57,105,73,1
58,105,74,1
59,105,75,1
60,105,76,1
61,105,77,1
62,105,78,1
63,105,79,1
64,105,80,1
65,105,81,1
66,105,82,1
67,105,83,1
68,105,85,1
69,105,86,1
70,105,87,1
71,105,88,1
72,105,89,1
73,105,90,1
74,105,91,1
75,38,92,1
76,38,93,1
77,38,94,1
78,38,95,1
79,38,96,1
80,38,97,1
81,38,98,1
82,38,99,1
83,38,100,1
84,38,101,1
85,38,102,1
86,38,103,1
87,38,104,1
88,38,105,1
89,38,106,1
90,38,107,1
91,28,108,1
92,28,109,1
93,28,110,1
94,28,111,1
95,28,112,1
96,28,113,1
97,28,115,1
98,95,116,1
99,95,117,1
100,95,118,1
101,95,119,1
102,95,120,1
103,95,121,1
104,95,122,1
105,3,123,1
106,3,124,1
107,3,125,1
108,3,126,1
109,3,127,1
110,3,128,1
111,3,129,1
112,3,130,1
113,3,131,1
114,3,133,1
115,3,134,1
116,3,135,1
117,3,136,1
118,3,137,1
119,3,138,1
120,3,139,1
121,3,140,1
122,3,141,1
123,3,142,1
124,3,143,1
125,3,144,1
126,3,145,1
127,3,146,1
128,3,147,1
129,3,148,1
130,3,149,1
131,3,150,1
132,3,151,1
133,3,152,1
134,3,153,1
135,3,154,1
136,3,155,1
137,3,156,1
138,3,157,1
139,3,158,1
140,3,159,1
141,3,160,1
142,3,161,1
143,3,162,1
144,3,163,1
145,3,164,1
146,3,165,1
147,3,166,1
148,3,167,1
149,3,168,1
150,3,169,1
151,3,170,1
152,3,171,1
153,118,172,1
154,118,173,1
155,118,174,1
156,118,175,1
157,118,176,1
158,118,177,1
159,118,178,1
160,118,179,1
161,118,180,1
162,118,181,1
163,118,182,1
164,118,183,1
165,118,184,1
166,118,185,1
167,118,186,1
168,118,187,1
169,118,188,1
170,118,189,1
171,118,190,1
172,118,191,1
173,118,192,1
174,120,496,1
175,120,497,1
176,120,498,1
177,120,499,1
178,120,500,1
179,120,501,1
180,120,502,1
181,120,503,1
182,120,504,1
183,120,505,1
184,120,506,1
185,120,507,1
186,120,508,1
187,120,509,1
188,120,510,1
189,120,511,1
190,120,512,1
191,120,513,1
192,120,514,1
193,120,515,1
194,120,516,1
195,120,517,1
196,120,518,1
197,120,519,1
198,120,520,1
199,120,521,1
200,120,522,1
201,120,523,1
202,120,524,1
203,120,525,1
204,121,526,1
205,121,527,1
206,121,528,1
207,121,529,1
208,121,530,1
209,121,531,1
210,121,532,1
211,121,533,1
212,121,534,1
213,121,535,1
214,121,536,1
215,121,537,1
216,121,538,1
217,121,539,1
218,121,540,1
219,121,541,1
220,121,542,1
221,22,544,1
222,22,545,1
223,22,546,1
224,22,547,1
225,76,548,1
226,22,550,1
227,43,552,1
228,87,553,1
229,87,554,1
230,22,555,1
231,55,557,1
232,122,558,1
233,76,559,1
234,76,560,1
235,55,561,1
236,43,562,1
237,123,563,1
238,87,564,1
239,43,565,1
240,22,566,1
241,124,567,1
242,43,568,1
243,22,569,1
244,55,570,1
245,43,571,1
246,55,572,1
247,43,573,1
248,125,574,1
249,87,576,1
250,55,577,1
251,22,578,1
252,43,579,1
253,76,580,1
254,124,581,1
255,43,582,1
256,76,583,1
257,64,584,1
258,22,585,1
259,43,586,1
260,22,587,1
261,87,588,1
262,87,589,1
263,87,590,1
264,22,591,1
265,55,593,1
266,125,594,1
267,22,596,1
268,127,597,1
269,43,599,1
270,128,602,1
271,125,603,1
272,87,604,1
273,43,605,1
274,55,606,1
275,69,609,1
276,128,610,1
277,22,611,1
278,22,612,1
279,43,613,1
280,123,614,1
281,123,615,1
282,43,616,1
283,123,617,1
284,123,618,1
285,76,619,1
286,123,620,1
287,22,621,1
288,76,622,1
289,76,623,1
290,124,625,1
291,43,626,1
292,87,627,1
293,22,628,1
294,22,629,1
295,22,630,1
296,76,631,1
297,87,632,1
298,87,633,1
299,128,634,1
300,43,635,1
301,125,636,1
302,43,637,1
303,69,639,1
304,124,640,1
305,123,641,1
306,76,642,1
307,87,643,1
308,55,644,1
