,ligand_name,sequence_id,label
0,95,116,1
1,95,117,1
2,95,118,1
3,95,119,1
4,95,120,1
5,95,121,1
6,95,122,1
7,3,123,1
8,3,124,1
9,3,125,1
10,3,126,1
11,3,127,1
12,3,128,1
13,3,129,1
14,3,130,1
15,3,131,1
16,3,133,1
17,3,134,1
18,3,135,1
19,3,136,1
20,3,137,1
21,3,138,1
22,3,139,1
23,3,140,1
24,3,141,1
25,3,142,1
26,3,143,1
27,3,144,1
28,3,145,1
29,3,146,1
30,3,147,1
31,3,148,1
32,3,149,1
33,3,150,1
34,3,151,1
35,3,152,1
36,3,153,1
37,3,154,1
38,3,155,1
39,3,156,1
40,3,157,1
41,3,158,1
42,3,159,1
43,3,160,1
44,3,161,1
45,3,162,1
46,3,163,1
47,3,164,1
48,3,165,1
49,3,166,1
50,3,167,1
51,3,168,1
52,3,169,1
53,3,170,1
54,3,171,1
55,76,548,1
56,43,552,1
57,76,559,1
58,76,560,1
59,43,562,1
60,43,565,1
61,43,568,1
62,43,571,1
63,43,573,1
64,43,579,1
65,76,580,1
66,43,582,1
67,76,583,1
68,43,586,1
69,43,599,1
70,43,605,1
71,43,613,1
72,43,616,1
73,76,619,1
74,76,622,1
75,76,623,1
76,43,626,1
77,76,631,1
78,43,635,1
79,43,637,1
80,76,642,1
81,76,646,1
82,43,651,1
83,43,683,1
84,43,684,1
85,43,687,1
86,43,694,1
87,76,696,1
88,43,700,1
89,43,703,1
90,43,708,1
91,76,713,1
92,76,717,1
93,43,720,1
94,76,722,1
95,43,724,1
96,43,728,1
97,43,731,1
98,76,732,1
99,43,737,1
100,43,741,1
101,76,742,1
102,43,747,1
103,43,751,1
104,76,754,1
105,76,755,1
106,76,769,1
107,43,771,1
108,43,772,1
109,76,773,1
110,43,607,1
111,43,775,1
112,76,787,1
113,76,794,1
114,43,803,1
115,43,804,1
116,43,806,1
117,43,809,1
118,76,818,1
119,76,821,1
120,43,825,1
121,76,826,1
122,43,837,1
123,76,838,1
124,76,845,1
125,76,848,1
126,76,849,1
127,76,854,1
128,43,861,1
129,76,865,1
130,43,869,1
131,43,870,1
132,43,874,1
133,43,877,1
134,43,885,1
135,76,893,1
136,76,894,1
137,76,899,1
138,76,908,1
139,76,914,1
140,76,915,1
141,76,919,1
142,76,920,1
143,43,921,1
144,76,923,1
145,43,930,1
146,76,934,1
147,76,942,1
148,43,943,1
149,43,948,1
150,76,960,1
151,43,964,1
152,76,974,1
153,43,979,1
154,76,985,1
155,43,993,1
156,43,1002,1
157,43,1003,1
158,43,1006,1
159,43,1022,1
160,76,1025,1
161,43,1026,1
162,43,1034,1
163,76,1059,1
164,76,1060,1
165,76,1064,1
166,76,1065,1
167,43,1069,1
168,76,1074,1
169,43,1079,1
170,76,1085,1
171,43,1095,1
172,76,1097,1
173,76,1099,1
174,76,1106,1
175,76,1108,1
176,43,1111,1
177,43,1118,1
178,76,1122,1
179,76,1123,1
180,76,1126,1
181,76,1131,1
182,43,1132,1
183,76,1134,1
184,43,1136,1
185,43,1142,1
186,43,1165,1
187,43,1166,1
188,43,1168,1
189,43,1174,1
190,43,1175,1
191,43,1177,1
192,43,1179,1
193,43,1180,1
194,43,1181,1
195,43,1186,1
196,43,1187,1
197,43,1193,1
198,43,1194,1
199,43,1195,1
200,43,1197,1
201,43,1198,1
202,43,1200,1
203,43,1201,1
204,43,1192,1
205,43,1202,1
206,43,1204,1
207,43,1206,1
208,43,1207,1
209,43,1209,1
210,43,1212,1
211,43,1214,1
212,43,1217,1
213,43,1220,1
214,43,1228,1
215,43,1231,1
216,43,1234,1
217,43,1236,1
218,43,1237,1
219,43,1238,1
220,43,1239,1
221,43,1240,1
222,43,1241,1
223,43,1242,1
224,43,1244,1
225,43,1248,1
226,43,1253,1
227,43,1257,1
228,43,1258,1
229,43,1261,1
230,43,1262,1
231,43,1264,1
232,43,1265,1
233,43,1269,1
234,43,1271,1
235,43,1275,1
236,43,1276,1
237,43,1281,1
238,43,1282,1
239,43,1284,1
240,43,1287,1
241,43,1288,1
242,43,1219,1
243,43,1293,1
244,43,1294,1
245,43,1295,1
246,43,1298,1
247,43,1299,1
248,43,1300,1
249,43,1301,1
250,43,1302,1
251,43,1305,1
252,43,1310,1
253,43,1313,1
254,43,1317,1
255,43,1318,1
256,43,1320,1
257,43,1321,1
258,43,1323,1
259,43,1325,1
260,43,1328,1
261,43,1329,1
262,43,1331,1
263,43,1336,1
264,43,1337,1
265,43,1338,1
266,43,1339,1
267,43,1340,1
268,43,1341,1
269,43,1344,1
270,43,1345,1
271,43,1347,1
272,43,1348,1
273,43,1349,1
274,43,1351,1
275,76,1352,1
276,43,1353,1
277,43,1355,1
278,43,1358,1
279,43,1359,1
280,43,1361,1
281,43,1362,1
282,43,1363,1
283,43,1364,1
284,43,1365,1
285,43,1366,1
286,43,1368,1
287,43,1369,1
288,43,1370,1
289,43,1371,1
290,43,1373,1
291,76,1374,1
292,43,1375,1
293,43,1376,1
294,43,1377,1
295,43,1378,1
296,43,1379,1
297,43,1380,1
298,43,1381,1
299,43,1384,1
300,43,1385,1
301,43,1387,1
302,43,1388,1
303,43,1391,1
304,43,1393,1
305,43,1395,1
306,43,1396,1
307,43,1322,1
308,43,1397,1
309,43,1399,1
310,43,1335,1
311,43,1401,1
312,43,1402,1
313,43,1403,1
314,43,1405,1
315,43,1414,1
316,43,1415,1
317,43,1419,1
318,76,1422,1
319,43,1424,1
320,43,1425,1
321,43,1427,1
322,43,1429,1
323,43,1430,1
324,43,1431,1
325,43,1432,1
326,43,1438,1
327,43,1439,1
328,43,1440,1
329,43,1444,1
330,43,1445,1
331,43,1447,1
332,43,1450,1
333,43,1452,1
334,43,1453,1
335,43,1454,1
336,43,1455,1
337,43,1456,1
338,43,1458,1
339,43,1465,1
340,43,1468,1
341,76,1469,1
342,43,1471,1
343,43,1473,1
344,43,1476,1
345,43,1479,1
346,43,892,1
347,43,1484,1
348,43,1485,1
349,43,1486,1
350,43,1487,1
351,43,1488,1
352,43,1489,1
353,43,1490,1
354,43,1491,1
355,43,801,1
356,43,1500,1
357,43,1502,1
358,43,1504,1
359,43,1511,1
360,43,1513,1
361,43,1514,1
362,43,1515,1
363,43,1520,1
364,43,1521,1
365,43,1523,1
366,43,1524,1
367,43,1526,1
368,43,1531,1
369,43,1532,1
370,43,1534,1
371,43,1536,1
372,43,1538,1
373,43,1543,1
374,43,1547,1
375,43,1548,1
376,43,1560,1
377,43,1564,1
378,43,1567,1
379,43,1569,1
380,43,1571,1
381,43,1593,1
382,76,1597,1
383,43,1603,1
384,76,1606,1
385,43,1608,1
386,43,1610,1
387,43,1613,1
388,43,1617,1
389,43,1618,1
390,43,1619,1
391,43,1622,1
