,ligand_name,sequence_id,label
0,107,8,1
1,107,11,1
2,107,13,1
3,107,15,1
4,107,16,1
5,107,20,1
6,107,30,1
7,107,33,1
8,107,34,1
9,15,36,1
10,15,39,1
11,15,40,1
12,107,62,1
13,105,69,1
14,105,71,1
15,105,78,1
16,105,85,1
17,38,93,1
18,3,132,1
19,3,139,1
20,3,147,1
21,3,154,1
22,3,159,1
23,3,160,1
24,118,178,1
25,118,182,1
26,119,194,1
27,119,208,1
28,119,211,1
29,119,216,1
30,119,224,1
31,119,227,1
32,119,251,1
33,119,255,1
34,119,256,1
35,119,266,1
36,119,302,1
37,119,311,1
38,119,316,1
39,119,324,1
40,119,325,1
41,119,333,1
42,119,334,1
43,119,344,1
44,119,346,1
45,119,349,1
46,119,355,1
47,119,359,1
48,119,365,1
49,119,371,1
50,119,372,1
51,119,378,1
52,119,382,1
53,119,384,1
54,119,409,1
55,119,412,1
56,119,426,1
57,119,436,1
58,119,452,1
59,119,458,1
60,119,459,1
61,119,481,1
62,119,487,1
63,121,535,1
64,22,543,1
65,22,551,1
66,87,554,1
67,76,560,1
68,22,566,1
69,55,570,1
70,43,573,1
71,22,585,1
72,87,589,1
73,43,595,1
74,87,604,1
75,122,543,1
76,43,616,1
77,55,624,1
78,55,644,1
79,43,566,1
80,129,654,1
81,78,666,1
82,125,667,1
83,123,668,1
84,87,671,1
85,123,674,1
86,87,551,1
87,64,702,1
88,87,674,1
89,130,709,1
90,87,710,1
91,22,727,1
92,55,746,1
93,123,752,1
94,123,758,1
95,55,760,1
96,123,666,1
97,127,763,1
98,123,585,1
99,87,543,1
100,123,543,1
101,123,789,1
102,22,815,1
103,22,819,1
104,22,823,1
105,76,826,1
106,129,846,1
107,69,853,1
108,123,566,1
109,124,871,1
110,43,877,1
111,55,878,1
112,22,880,1
113,87,883,1
114,130,888,1
115,76,894,1
116,122,909,1
117,43,948,1
118,22,965,1
119,123,975,1
120,22,987,1
121,87,998,1
122,123,999,1
123,22,1017,1
124,43,1026,1
125,64,1039,1
126,123,1047,1
127,130,1057,1
128,126,1062,1
129,22,674,1
130,123,1078,1
131,125,1080,1
132,124,1082,1
133,87,1088,1
134,125,1093,1
135,125,1103,1
136,123,965,1
137,125,1115,1
138,69,543,1
139,123,1124,1
140,76,1126,1
141,22,1146,1
142,87,1150,1
143,22,595,1
144,55,1171,1
145,55,1184,1
146,43,1186,1
147,22,1215,1
148,55,1227,1
149,129,1247,1
150,55,1254,1
151,124,1256,1
152,43,1262,1
153,55,1289,1
154,127,1309,1
155,22,1316,1
156,127,1324,1
157,43,1328,1
158,43,1344,1
159,43,1347,1
160,43,1349,1
161,43,1355,1
162,43,1361,1
163,43,1364,1
164,43,1368,1
165,122,1372,1
166,43,1384,1
167,43,1387,1
168,123,1408,1
169,43,1414,1
170,43,1415,1
171,87,1418,1
172,43,1424,1
173,43,1439,1
174,87,1443,1
175,69,1446,1
176,87,1449,1
177,43,1455,1
178,43,1458,1
179,126,1459,1
180,87,1467,1
181,87,1480,1
182,123,1483,1
183,43,1485,1
184,123,1535,1
185,104,1541,1
186,87,823,1
187,43,1569,1
188,123,1372,1
189,22,1480,1
190,43,1608,1
191,22,1614,1
192,43,1619,1
193,69,1629,1
194,125,1630,1
195,129,823,1
196,123,823,1
197,87,1641,1
198,43,1644,1
199,123,1651,1
200,43,1658,1
201,87,1665,1
202,43,1666,1
203,123,1686,1
204,126,1691,1
205,78,1694,1
206,87,1700,1
207,125,1702,1
208,125,1704,1
209,125,1726,1
210,122,1735,1
211,124,1739,1
212,126,1756,1
213,84,1788,1
214,125,1803,1
215,125,1805,1
216,87,1810,1
217,22,1811,1
218,125,1816,1
219,125,1825,1
220,125,1829,1
221,123,1835,1
222,87,1847,1
223,125,1859,1
224,123,1891,1
225,125,1913,1
226,125,1914,1
227,125,1915,1
228,125,1918,1
229,87,1939,1
230,123,1735,1
231,123,1949,1
232,123,1953,1
233,21,1735,1
234,64,1979,1
235,87,1988,1
236,125,2008,1
237,125,2021,1
238,123,2027,1
239,123,2034,1
240,123,2044,1
241,125,2049,1
242,123,2068,1
243,125,2070,1
244,125,2080,1
245,123,2083,1
246,125,2089,1
247,129,2090,1
248,87,2104,1
249,87,2109,1
250,123,2121,1
251,130,2122,1
252,125,2129,1
253,22,2140,1
254,125,2146,1
255,125,2155,1
256,125,2156,1
257,76,2172,1
258,123,2177,1
259,22,2197,1
260,87,2204,1
261,123,2217,1
262,87,2229,1
263,87,2230,1
264,76,2235,1
265,22,1810,1
266,22,2253,1
267,87,2256,1
268,87,2259,1
269,123,2263,1
270,123,2270,1
271,123,2292,1
272,125,2305,1
273,126,2310,1
274,123,2312,1
275,87,2313,1
276,87,2321,1
277,125,2326,1
278,123,2339,1
279,87,2345,1
280,123,2348,1
281,22,2358,1
282,125,2367,1
283,87,2368,1
284,87,2373,1
285,126,2027,1
286,22,2428,1
287,22,2439,1
288,22,2448,1
289,125,2454,1
290,123,2470,1
291,123,2313,1
292,123,2488,1
293,87,2509,1
294,125,2510,1
295,22,2512,1
296,22,2527,1
297,87,2570,1
298,22,2575,1
299,22,2581,1
300,22,2584,1
301,129,2623,1
302,22,2624,1
303,87,2638,1
304,22,2662,1
305,87,2680,1
306,16,2687,1
307,28,2690,1
308,28,2692,1
309,28,2693,1
310,28,2697,1
311,28,2709,1
312,28,2714,1
313,97,2723,1
314,5,2731,1
315,5,2732,1
316,84,2738,1
317,28,2763,1
318,36,2770,1
319,28,2776,1
320,28,2784,1
321,36,2800,1
322,28,2806,1
323,28,2813,1
324,28,2821,1
325,36,2813,1
326,36,2830,1
327,28,2850,1
328,116,2876,1
329,116,2881,1
330,116,2882,1
331,116,2887,1
332,116,2889,1
333,116,2890,1
334,116,2899,1
335,116,2904,1
336,116,2909,1
337,116,2917,1
338,116,2927,1
339,116,2932,1
340,116,2933,1
341,116,2937,1
342,13,2943,1
343,13,2965,1
344,13,2987,1
345,13,2992,1
346,13,2996,1
347,13,2999,1
348,51,3016,1
349,51,3022,1
350,28,3032,1
351,28,3036,1
352,28,3044,1
353,28,3045,1
354,10,3083,1
355,14,3088,1
356,14,3101,1
357,38,3106,1
358,38,3114,1
359,72,3139,1
360,107,3143,1
361,17,3149,1
362,17,3155,1
363,246,3163,1
364,22,3166,1
365,50,3189,1
366,50,3202,1
367,17,3203,1
368,17,3209,1
369,17,3214,1
370,84,3224,1
371,246,3238,1
372,69,3241,1
373,98,3244,1
374,72,3251,1
375,246,3259,1
376,246,3264,1
377,72,3285,1
378,50,3288,1
379,43,3289,1
380,72,3291,1
381,72,3327,1
382,246,3330,1
383,72,3334,1
384,113,3361,1
385,113,3365,1
386,113,3387,1
387,113,3388,1
388,88,3410,1
389,88,3417,1
390,88,3423,1
391,88,3424,1
392,88,3434,1
393,88,3445,1
394,88,3466,1
395,88,3474,1
396,88,3482,1
397,88,3496,1
398,88,3501,1
399,88,3504,1
400,88,3505,1
401,88,3510,1
402,88,3529,1
403,88,3554,1
404,88,3557,1
405,88,3585,1
406,88,3589,1
407,88,3596,1
408,88,3622,1
409,88,3641,1
410,88,3642,1
411,88,3645,1
412,88,3653,1
413,88,3677,1
414,88,3695,1
415,88,3696,1
416,88,3705,1
417,88,3706,1
418,88,3719,1
419,88,3723,1
420,88,3738,1
421,88,3747,1
422,55,3771,1
423,55,3779,1
424,55,3796,1
425,55,3809,1
426,55,3825,1
427,55,3837,1
428,55,3839,1
429,55,3847,1
430,55,3852,1
431,55,3853,1
432,55,3867,1
433,55,3890,1
434,55,3894,1
435,55,3904,1
436,55,3905,1
437,55,3909,1
438,55,3916,1
439,55,3925,1
440,55,3926,1
441,55,3961,1
442,55,3963,1
443,55,3964,1
444,55,3991,1
445,55,3992,1
446,28,3999,1
447,28,4021,1
448,28,4029,1
449,106,4061,1
450,106,624,1
451,106,4062,1
452,106,4066,1
453,106,4095,1
454,106,4102,1
455,106,4105,1
456,106,4112,1
457,106,4128,1
458,106,4130,1
459,106,4143,1
460,106,4160,1
461,106,4161,1
462,106,4184,1
463,106,4195,1
464,69,4208,1
465,74,4224,1
466,74,4228,1
467,74,4236,1
468,74,4244,1
469,74,4253,1
470,74,4272,1
471,131,4286,1
472,85,4302,1
473,85,4316,1
474,85,4327,1
475,85,4338,1
476,85,4344,1
477,26,4366,1
478,26,4385,1
479,26,4316,1
480,108,4394,1
481,108,4413,1
482,26,4424,1
483,108,4450,1
484,26,4450,1
485,85,4467,1
486,26,4474,1
487,26,4477,1
488,26,4478,1
489,85,4478,1
490,85,4507,1
491,85,4508,1
492,85,4512,1
493,85,4519,1
494,26,4507,1
495,26,4508,1
496,26,4512,1
497,26,4519,1
498,85,4539,1
499,85,4554,1
500,85,4560,1
501,85,4563,1
502,26,4539,1
503,26,4554,1
504,26,4560,1
505,26,4563,1
506,85,4571,1
507,26,4571,1
508,30,4595,1
509,30,4597,1
510,30,4603,1
511,132,4609,1
512,132,4627,1
513,132,4629,1
514,132,4631,1
515,132,4632,1
516,133,4654,1
517,134,4678,1
518,134,4687,1
519,134,4689,1
520,134,4696,1
521,135,4704,1
522,135,4712,1
523,132,4722,1
524,132,4734,1
525,132,4742,1
526,133,132,1
527,133,4765,1
528,133,4769,1
529,121,4803,1
530,134,4806,1
531,134,4807,1
532,134,4821,1
533,134,4831,1
534,134,4837,1
535,134,4838,1
536,135,4839,1
537,132,4696,1
538,133,4860,1
539,136,4901,1
540,134,4915,1
541,134,4916,1
542,134,4925,1
543,134,4928,1
544,135,4951,1
545,132,4974,1
546,132,4976,1
547,132,4979,1
548,132,4984,1
549,133,5006,1
550,133,5018,1
551,133,5033,1
552,136,5036,1
553,136,4984,1
554,121,5057,1
555,121,5062,1
556,134,5077,1
557,134,5080,1
558,134,5083,1
559,134,5089,1
560,134,5101,1
561,69,5123,1
562,69,5124,1
563,69,5127,1
564,113,5139,1
565,16,5161,1
566,16,5201,1
567,28,5236,1
568,95,5241,1
569,95,5244,1
570,95,5255,1
571,105,5276,1
572,105,5278,1
573,91,5294,1
574,91,5295,1
575,91,5299,1
576,113,5316,1
577,113,5320,1
578,113,5323,1
579,113,5337,1
580,12,5388,1
581,113,5394,1
582,113,5412,1
583,113,5415,1
584,68,5432,1
585,68,5434,1
586,68,5442,1
587,17,5457,1
588,17,5458,1
589,17,5492,1
590,97,5501,1
591,97,5506,1
592,97,5510,1
593,97,5523,1
594,97,5525,1
595,115,5540,1
596,21,5581,1
597,21,5583,1
598,21,5587,1
599,21,5592,1
600,21,5594,1
601,21,5610,1
602,21,5619,1
603,21,5631,1
604,21,5642,1
605,21,5647,1
606,21,5664,1
607,21,5684,1
608,21,5693,1
609,21,5695,1
610,21,5696,1
611,21,5697,1
612,21,5699,1
613,21,5708,1
614,21,5725,1
615,21,5730,1
616,114,5735,1
617,21,5739,1
618,21,5753,1
619,21,5761,1
620,17,5780,1
621,37,5801,1
622,37,5810,1
623,37,5827,1
624,37,5832,1
625,37,5872,1
626,37,5876,1
627,37,5878,1
628,37,5883,1
629,37,5894,1
630,37,5901,1
631,17,5906,1
632,37,5915,1
633,37,5922,1
634,37,5929,1
635,55,5942,1
636,55,5945,1
637,69,5967,1
638,69,5996,1
639,69,5997,1
640,69,6009,1
641,69,6023,1
642,69,6037,1
643,69,6045,1
644,69,6049,1
645,69,6051,1
646,69,6060,1
647,69,6072,1
648,69,6076,1
649,69,6090,1
650,69,6091,1
651,69,6096,1
652,69,6110,1
653,69,6119,1
654,37,6138,1
655,21,6151,1
656,114,6156,1
657,69,6179,1
658,88,6184,1
659,88,6189,1
660,121,6193,1
661,121,6203,1
662,121,6229,1
663,121,6235,1
664,121,6237,1
665,121,6265,1
666,121,6266,1
667,121,6286,1
668,121,6292,1
669,121,6311,1
670,121,6320,1
671,121,6323,1
672,121,6330,1
673,121,6341,1
674,121,6358,1
675,121,6359,1
676,121,6362,1
677,17,6389,1
678,17,6392,1
679,17,6405,1
680,17,6407,1
681,17,6411,1
682,17,6415,1
683,69,6438,1
684,17,6453,1
685,43,6466,1
686,43,6472,1
687,43,6475,1
688,112,6480,1
689,112,6481,1
690,112,6485,1
691,112,6493,1
692,112,6502,1
693,112,6505,1
694,14,6547,1
695,14,6549,1
696,106,6561,1
697,106,6566,1
698,106,6584,1
699,77,6595,1
700,75,6623,1
701,6,6652,1
702,17,6678,1
703,17,6685,1
704,17,6687,1
705,17,6689,1
706,17,6691,1
707,17,6699,1
708,55,6702,1
709,52,6717,1
710,52,6718,1
711,52,6727,1
712,52,6737,1
713,52,6752,1
714,52,6761,1
715,52,6764,1
716,52,6771,1
717,52,6772,1
718,52,5922,1
719,88,6780,1
720,69,6788,1
721,69,6796,1
722,88,6802,1
723,137,6805,1
724,137,6809,1
725,137,6814,1
726,137,6816,1
727,137,6823,1
728,137,6824,1
729,137,6846,1
730,137,6847,1
731,137,6849,1
732,137,6861,1
733,137,6863,1
734,137,6871,1
735,137,6878,1
736,137,6888,1
737,137,6889,1
738,137,6892,1
739,137,6894,1
740,137,6915,1
741,137,6927,1
742,137,6935,1
743,137,6945,1
744,137,6949,1
745,137,6953,1
746,137,6954,1
747,137,6963,1
748,137,6970,1
749,137,6976,1
750,137,7007,1
751,137,7011,1
752,137,7015,1
753,137,7021,1
754,137,7037,1
755,137,7045,1
756,137,7059,1
757,137,7093,1
758,84,7128,1
759,17,7132,1
760,17,7136,1
761,17,7142,1
762,55,7150,1
763,55,7159,1
764,69,7164,1
765,69,7185,1
766,55,7205,1
767,69,7212,1
768,94,543,1
769,94,7227,1
770,94,7228,1
771,94,7236,1
772,72,7247,1
773,84,7266,1
774,43,7288,1
775,43,7295,1
