,Unnamed: 0,ligand_name,sequence_id,label
98,98,28,109,1
99,99,28,110,1
100,100,28,111,1
101,101,28,112,1
102,102,28,113,1
103,103,28,114,1
104,104,28,115,1
479,479,121,526,1
480,480,121,527,1
481,481,121,529,1
482,482,121,530,1
483,483,121,531,1
484,484,121,532,1
485,485,121,534,1
486,486,121,535,1
487,487,121,536,1
488,488,121,537,1
489,489,121,538,1
490,490,121,539,1
491,491,121,540,1
492,492,121,541,1
493,493,121,542,1
494,494,22,543,1
495,495,22,544,1
496,496,22,545,1
497,497,22,546,1
498,498,22,547,1
499,499,76,548,1
500,500,22,549,1
501,501,22,550,1
502,502,22,551,1
505,505,22,555,1
509,509,76,559,1
510,510,76,560,1
516,516,22,566,1
519,519,22,569,1
528,528,22,578,1
530,530,22,556,1
531,531,76,580,1
534,534,76,583,1
536,536,22,585,1
538,538,22,587,1
542,542,22,591,1
543,543,22,592,1
556,556,22,608,1
560,560,22,611,1
561,561,22,612,1
568,568,76,619,1
570,570,22,621,1
571,571,76,622,1
572,572,76,623,1
577,577,22,628,1
578,578,22,629,1
579,579,22,630,1
580,580,76,631,1
589,589,76,642,1
593,593,76,646,1
599,599,22,652,1
604,604,22,656,1
606,606,22,649,1
608,608,22,659,1
611,611,22,662,1
612,612,22,663,1
618,618,22,669,1
619,619,22,670,1
624,624,22,677,1
626,626,22,679,1
639,639,76,696,1
641,641,22,698,1
654,654,22,712,1
655,655,76,713,1
656,656,22,714,1
657,657,22,715,1
658,658,22,716,1
659,659,76,717,1
661,661,22,719,1
663,663,76,722,1
665,665,22,690,1
669,669,22,727,1
674,674,76,732,1
677,677,22,735,1
685,685,22,744,1
686,686,22,600,1
687,687,22,745,1
695,695,22,753,1
696,696,76,754,1
697,697,76,755,1
700,700,22,759,1
707,707,22,707,1
708,708,22,764,1
710,710,22,766,1
717,717,22,770,1
720,720,76,773,1
721,721,22,774,1
735,735,76,787,1
742,742,76,794,1
746,746,22,799,1
757,757,22,811,1
760,760,22,815,1
762,762,22,817,1
763,763,76,818,1
764,764,22,819,1
765,765,22,820,1
766,766,76,821,1
767,767,22,823,1
770,770,76,826,1
771,771,22,828,1
774,774,22,832,1
775,775,22,833,1
777,777,22,836,1
779,779,76,838,1
785,785,22,718,1
786,786,22,844,1
787,787,76,845,1
790,790,76,848,1
791,791,76,849,1
798,798,76,854,1
806,806,22,862,1
809,809,76,865,1
827,827,22,880,1
828,828,22,881,1
835,835,22,890,1
837,837,76,893,1
838,838,76,894,1
840,840,22,896,1
842,842,22,776,1
843,843,76,899,1
850,850,22,887,1
851,851,22,802,1
852,852,22,907,1
853,853,76,908,1
858,858,76,914,1
859,859,76,915,1
862,862,76,919,1
863,863,76,920,1
867,867,76,923,1
877,877,76,934,1
885,885,76,942,1
887,887,22,944,1
896,896,22,954,1
898,898,22,956,1
901,901,76,960,1
904,904,22,965,1
906,906,22,968,1
911,911,22,973,1
912,912,76,974,1
919,919,22,983,1
920,920,76,985,1
921,921,22,986,1
922,922,22,987,1
926,926,22,991,1
929,929,22,994,1
946,946,22,1011,1
949,949,22,1013,1
952,952,22,1017,1
953,953,22,1018,1
957,957,22,1024,1
958,958,76,1025,1
975,975,22,816,1
990,990,22,1058,1
991,991,76,1059,1
992,992,76,1060,1
994,994,22,1063,1
995,995,76,1064,1
996,996,76,1065,1
1003,1003,22,653,1
1005,1005,76,1074,1
1008,1008,22,1077,1
1014,1014,76,1085,1
1027,1027,76,1097,1
1029,1029,76,1099,1
1033,1033,22,1104,1
1035,1035,76,1106,1
1038,1038,76,1108,1
1052,1052,76,1122,1
1053,1053,76,1123,1
1056,1056,76,1126,1
1058,1058,22,1130,1
1059,1059,76,1131,1
1064,1064,76,1134,1
1070,1070,22,1140,1
1073,1073,22,1143,1
1075,1075,22,1146,1
1080,1080,22,1149,1
1085,1085,22,1156,1
1116,1116,22,1189,1
1133,1133,22,1205,1
1138,1138,22,1213,1
1145,1145,22,1221,1
1173,1173,22,1245,1
1183,1183,22,1255,1
1202,1202,22,1163,1
1209,1209,22,1279,1
1216,1216,22,1286,1
1250,1250,22,1316,1
1266,1266,22,1332,1
1278,1278,22,1135,1
1281,1281,22,1346,1
1286,1286,76,1352,1
1310,1310,76,1374,1
1354,1354,22,1412,1
1366,1366,76,1422,1
1406,1406,22,1461,1
1414,1414,76,1469,1
1421,1421,22,1428,1
1442,1442,22,1495,1
1455,1455,22,1506,1
1463,1463,22,1516,1
1474,1474,22,693,1
1513,1513,22,1562,1
1514,1514,22,1563,1
1530,1530,22,1577,1
1544,1544,22,1589,1
1547,1547,22,1592,1
1549,1549,22,1480,1
1551,1551,22,1595,1
1553,1553,76,1597,1
1556,1556,22,1600,1
1557,1557,22,1601,1
1572,1572,22,1614,1
1595,1595,22,1636,1
1604,1604,22,1643,1
1607,1607,22,1646,1
1608,1608,76,1647,1
1626,1626,22,1660,1
1629,1629,76,1662,1
1651,1651,22,1682,1
1681,1681,22,1711,1
1689,1689,76,1719,1
1715,1715,22,1747,1
1739,1739,76,1779,1
1768,1768,22,1811,1
1827,1827,76,1872,1
1847,1847,22,1895,1
1870,1870,76,1920,1
1878,1878,22,1929,1
1882,1882,22,1933,1
1900,1900,22,1952,1
1928,1928,22,1985,1
1930,1930,22,1987,1
1956,1956,22,1709,1
1970,1970,22,2029,1
1977,1977,22,1910,1
1986,1986,22,1734,1
1988,1988,76,2048,1
2001,2001,22,2061,1
2002,2002,22,2062,1
2015,2015,22,2078,1
2018,2018,22,2081,1
2022,2022,76,2085,1
2023,2023,22,2086,1
2036,2036,22,2103,1
2039,2039,22,2108,1
2071,2071,22,2140,1
2073,2073,22,2142,1
2081,2081,22,2133,1
2085,2085,22,2150,1
2101,2101,22,2160,1
2105,2105,76,2172,1
2113,2113,22,2180,1
2114,2114,22,2181,1
2115,2115,22,2182,1
2120,2120,22,2079,1
2129,2129,22,2197,1
2131,2131,22,2199,1
2137,2137,22,2205,1
2138,2138,22,2206,1
2154,2154,22,2225,1
2161,2161,22,2231,1
2170,2170,22,2240,1
2173,2173,76,2243,1
2181,2181,22,2252,1
2182,2182,22,1810,1
2183,2183,22,2253,1
2184,2184,22,1834,1
2185,2185,22,1814,1
2186,2186,22,2254,1
2188,2188,22,2258,1
2196,2196,22,2268,1
2201,2201,22,2274,1
2204,2204,22,2278,1
2205,2205,22,2279,1
2210,2210,22,2284,1
2213,2213,22,2287,1
2248,2248,22,2324,1
2252,2252,22,1928,1
2268,2268,22,2344,1
2278,2278,22,1990,1
2281,2281,22,2358,1
2285,2285,22,2362,1
2290,2290,22,1903,1
2294,2294,22,2019,1
2303,2303,22,2377,1
2315,2315,22,2388,1
2321,2321,22,2395,1
2329,2329,22,2403,1
2331,2331,22,2405,1
2334,2334,22,2407,1
2344,2344,22,1965,1
2347,2347,22,2421,1
2348,2348,22,2422,1
2354,2354,22,2428,1
2357,2357,22,2000,1
2361,2361,22,2434,1
2365,2365,22,2439,1
2368,2368,22,1904,1
2370,2370,22,2009,1
2372,2372,22,2443,1
2374,2374,22,1927,1
2376,2376,22,2446,1
2378,2378,22,2448,1
2380,2380,22,2452,1
2381,2381,22,1740,1
2383,2383,22,2455,1
2386,2386,22,2458,1
2403,2403,22,2132,1
2404,2404,22,2475,1
2406,2406,22,2477,1
2408,2408,22,2479,1
2410,2410,22,2480,1
2412,2412,22,2482,1
2414,2414,22,2484,1
2431,2431,22,2498,1
2434,2434,22,2501,1
2435,2435,22,2502,1
2436,2436,22,2503,1
2438,2438,22,2505,1
2439,2439,22,2506,1
2440,2440,22,2507,1
2441,2441,22,2508,1
2444,2444,22,2511,1
2445,2445,22,2512,1
2446,2446,22,2513,1
2447,2447,22,2514,1
2448,2448,76,2516,1
2449,2449,22,2517,1
2450,2450,22,2518,1
2451,2451,22,2520,1
2452,2452,22,2521,1
2453,2453,22,2523,1
2455,2455,22,2525,1
2456,2456,22,2526,1
2457,2457,22,2527,1
2458,2458,22,2529,1
2459,2459,22,2530,1
2461,2461,22,2532,1
2462,2462,22,2534,1
2463,2463,22,2535,1
2464,2464,22,2536,1
2465,2465,22,2537,1
2467,2467,22,2539,1
2468,2468,22,2540,1
2469,2469,22,2541,1
2470,2470,22,2542,1
2471,2471,22,2543,1
2473,2473,22,2524,1
2477,2477,22,2548,1
2480,2480,22,2500,1
2482,2482,22,2551,1
2484,2484,22,2553,1
2485,2485,22,2554,1
2487,2487,22,2556,1
2488,2488,22,2557,1
2489,2489,22,2550,1
2491,2491,22,2559,1
2492,2492,22,2561,1
2493,2493,22,2562,1
2494,2494,22,2549,1
2497,2497,22,2568,1
2503,2503,22,2574,1
2504,2504,22,2575,1
2508,2508,22,2580,1
2509,2509,22,2581,1
2512,2512,22,2583,1
2513,2513,22,2584,1
2514,2514,22,2585,1
2515,2515,22,2586,1
2516,2516,22,2587,1
2517,2517,22,2588,1
2519,2519,22,2590,1
2522,2522,76,2592,1
2523,2523,22,2593,1
2525,2525,22,2596,1
2526,2526,22,2597,1
2527,2527,22,2598,1
2528,2528,22,2599,1
2529,2529,22,2600,1
2533,2533,22,2604,1
2535,2535,22,2606,1
2536,2536,22,2607,1
2537,2537,22,2608,1
2538,2538,22,2609,1
2539,2539,22,2602,1
2541,2541,22,2611,1
2543,2543,22,2613,1
2546,2546,22,2616,1
2547,2547,22,2617,1
2548,2548,22,2618,1
2550,2550,22,2619,1
2553,2553,22,2622,1
2555,2555,22,2624,1
2556,2556,22,2625,1
2558,2558,22,2499,1
2560,2560,22,2627,1
2561,2561,22,2628,1
2562,2562,22,2629,1
2563,2563,22,2630,1
2564,2564,22,2631,1
2567,2567,22,2633,1
2569,2569,22,2634,1
2570,2570,22,2635,1
2571,2571,22,2636,1
2572,2572,22,2637,1
2574,2574,22,2639,1
2575,2575,22,2640,1
2577,2577,22,2641,1
2579,2579,22,2643,1
2580,2580,22,2644,1
2582,2582,22,2646,1
2587,2587,76,2650,1
2588,2588,22,2651,1
2589,2589,22,2652,1
2590,2590,22,2653,1
2594,2594,22,2642,1
2601,2601,22,2661,1
2602,2602,22,2603,1
2603,2603,22,2662,1
2604,2604,22,2663,1
2608,2608,22,2667,1
2609,2609,76,2668,1
2611,2611,22,2670,1
2613,2613,22,2673,1
2627,2627,28,2689,1
2628,2628,28,2690,1
2629,2629,28,2691,1
2630,2630,28,2692,1
2631,2631,28,2693,1
2632,2632,28,2694,1
2633,2633,28,2695,1
2634,2634,28,2696,1
2635,2635,28,2697,1
2645,2645,28,2709,1
2646,2646,28,2710,1
2647,2647,28,2711,1
2648,2648,28,2712,1
2649,2649,28,2713,1
2650,2650,28,2714,1
2651,2651,28,2715,1
2652,2652,28,2716,1
2653,2653,28,2717,1
2654,2654,28,2718,1
2655,2655,28,2719,1
2656,2656,28,2720,1
2657,2657,28,2721,1
2693,2693,28,2758,1
2694,2694,28,2759,1
2695,2695,28,2760,1
2696,2696,28,2761,1
2697,2697,28,2762,1
2698,2698,28,2763,1
2699,2699,28,2764,1
2700,2700,28,2766,1
2708,2708,28,2774,1
2709,2709,28,2776,1
2710,2710,28,2777,1
2711,2711,28,2778,1
2712,2712,28,2779,1
2713,2713,28,2780,1
2714,2714,28,2781,1
2715,2715,28,2782,1
2716,2716,28,2783,1
2717,2717,28,2784,1
2718,2718,28,2785,1
2721,2721,28,2788,1
2722,2722,28,2789,1
2723,2723,28,2790,1
2724,2724,28,2791,1
2725,2725,28,2792,1
2726,2726,28,2793,1
2727,2727,28,2794,1
2728,2728,28,2795,1
2729,2729,28,2796,1
2730,2730,28,2797,1
2739,2739,28,2801,1
2740,2740,28,2802,1
2741,2741,28,2803,1
2742,2742,28,2804,1
2743,2743,28,2805,1
2744,2744,28,2806,1
2751,2751,28,2813,1
2752,2752,28,2814,1
2753,2753,28,2815,1
2754,2754,28,2816,1
2755,2755,28,2817,1
2756,2756,28,2818,1
2757,2757,28,2819,1
2758,2758,28,2820,1
2759,2759,28,2821,1
2760,2760,28,2822,1
2772,2772,28,2832,1
2773,2773,28,2833,1
2774,2774,28,2834,1
2775,2775,28,2835,1
2776,2776,28,2836,1
2783,2783,28,2844,1
2784,2784,28,2845,1
2785,2785,28,2846,1
2786,2786,28,2847,1
2787,2787,28,2848,1
2795,2795,28,2856,1
2796,2796,28,2857,1
2797,2797,28,2858,1
2954,2954,28,3025,1
2955,2955,28,3028,1
2956,2956,28,3029,1
2957,2957,28,3030,1
2958,2958,28,3031,1
2959,2959,28,3032,1
2960,2960,28,3033,1
2961,2961,28,3034,1
2962,2962,28,3035,1
2963,2963,28,3036,1
2964,2964,28,3037,1
2965,2965,28,3038,1
2966,2966,28,3040,1
2967,2967,28,3041,1
2968,2968,28,3042,1
2969,2969,28,3043,1
2970,2970,28,3044,1
2971,2971,28,3045,1
2972,2972,28,3046,1
2973,2973,28,3047,1
2974,2974,28,3048,1
2975,2975,28,3049,1
2976,2976,28,3050,1
2977,2977,28,3051,1
2978,2978,28,3052,1
2979,2979,28,3053,1
2980,2980,28,3054,1
2981,2981,28,3055,1
2982,2982,28,3056,1
2983,2983,28,3057,1
2984,2984,28,3059,1
2985,2985,28,3060,1
2986,2986,28,3061,1
2987,2987,28,3063,1
2988,2988,28,3064,1
2989,2989,28,3065,1
2990,2990,28,3066,1
2991,2991,28,3067,1
3037,3037,76,3117,1
3038,3038,76,3118,1
3039,3039,76,3119,1
3040,3040,76,3120,1
3041,3041,76,3121,1
3042,3042,76,3122,1
3043,3043,76,3123,1
3044,3044,76,3125,1
3045,3045,76,3126,1
3046,3046,76,3127,1
3047,3047,76,3128,1
3048,3048,76,3129,1
3049,3049,76,3130,1
3050,3050,76,3131,1
3079,3079,22,3162,1
3083,3083,22,3166,1
3085,3085,22,3168,1
3105,3105,22,3190,1
3110,3110,22,3196,1
3154,3154,22,3247,1
3162,3162,22,3255,1
3164,3164,22,3258,1
3199,3199,22,3295,1
3224,3224,22,3324,1
3247,3247,22,3348,1
3813,3813,28,3996,1
3814,3814,28,3997,1
3815,3815,28,3998,1
3816,3816,28,3999,1
3817,3817,28,4000,1
3818,3818,28,4001,1
3819,3819,28,4002,1
3820,3820,28,4003,1
3821,3821,28,4004,1
3822,3822,28,4005,1
3823,3823,28,4006,1
3824,3824,28,4007,1
3825,3825,28,4008,1
3826,3826,28,4009,1
3827,3827,28,4010,1
3828,3828,28,4011,1
3829,3829,28,4012,1
3830,3830,28,4013,1
3831,3831,28,4014,1
3832,3832,28,4015,1
3833,3833,28,4016,1
3834,3834,28,4017,1
3835,3835,28,4018,1
3836,3836,28,4019,1
